"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.03.2022","1.929,30","1.988,70","1.994,80","1.895,20","727,87K","-2,81%"
"06.03.2022","1.985,00","1.978,50","2.078,80","1.960,60","1,48M","0,94%"
"27.02.2022","1.966,60","1.921,00","1.974,90","1.892,20","881,45K","4,19%"
"20.02.2022","1.887,60","1.903,50","1.976,50","1.878,60","912,48K","-0,64%"
"13.02.2022","1.899,80","1.862,20","1.905,00","1.845,40","855,93K","3,13%"
"06.02.2022","1.842,10","1.808,00","1.867,40","1.807,50","646,40K","1,90%"
"30.01.2022","1.807,80","1.792,80","1.815,80","1.785,80","565,04K","1,28%"
"23.01.2022","1.784,90","1.835,20","1.854,20","1.778,80","908,19K","-2,56%"
"16.01.2022","1.831,80","1.818,70","1.848,50","1.804,70","915,30K","0,84%"
"09.01.2022","1.816,50","1.796,40","1.829,30","1.789,30","765,70K","1,06%"
"02.01.2022","1.797,40","1.830,10","1.833,00","1.781,30","748,00K","-1,71%"
"26.12.2021","1.828,60","1.810,20","1.831,40","1.789,10","436,88K","0,93%"
"19.12.2021","1.811,70","1.800,20","1.812,00","1.785,00","454,79K","0,38%"
"12.12.2021","1.804,90","1.784,20","1.815,70","1.753,00","588,18K","1,13%"
"05.12.2021","1.784,80","1.787,70","1.794,30","1.770,40","468,04K","0,05%"
"28.11.2021","1.783,90","1.795,20","1.811,40","1.762,20","747,28K","-0,23%"
"21.11.2021","1.788,10","1.850,70","1.853,00","1.780,20","575,17K","-3,57%"
"14.11.2021","1.854,30","1.876,30","1.881,90","1.847,00","258,96K","-0,88%"
"07.11.2021","1.870,80","1.822,20","1.873,30","1.815,90","243,74K","2,85%"
"31.10.2021","1.819,00","1.786,80","1.822,20","1.761,00","82,65K","1,85%"
"24.10.2021","1.785,90","1.796,40","1.814,60","1.774,60","34,00K","-0,69%"
"17.10.2021","1.798,30","1.769,50","1.817,50","1.762,80","21,20K","1,59%"
"10.10.2021","1.770,20","1.760,30","1.803,60","1.752,10","22,63K","0,61%"
"03.10.2021","1.759,40","1.762,40","1.783,20","1.747,90","24,01K","-0,04%"
"26.09.2021","1.760,10","1.754,20","1.766,40","1.723,70","28,13K","0,36%"
"19.09.2021","1.753,80","1.755,60","1.789,70","1.740,00","12,36K","0,02%"
"12.09.2021","1.753,40","1.791,30","1.812,70","1.747,50","10,72K","-2,27%"
"05.09.2021","1.794,20","1.834,00","1.834,00","1.785,60","14,23K","-2,26%"
"29.08.2021","1.835,70","1.822,90","1.838,70","1.806,60","9,70K","0,78%"
"22.08.2021","1.821,50","1.783,80","1.823,70","1.780,20","4,14K","1,99%"
"15.08.2021","1.786,00","1.782,40","1.799,00","1.775,20","6,84K","0,32%"
"08.08.2021","1.780,30","1.766,00","1.783,50","1.680,00","14,17K","0,86%"
"01.08.2021","1.765,10","1.818,60","1.837,40","1.762,00","8,75K","-2,97%"
"25.07.2021","1.819,10","1.808,00","1.838,70","1.798,00","15,12K","0,64%"
"18.07.2021","1.807,50","1.818,20","1.830,70","1.795,20","8,13K","-0,75%"
"11.07.2021","1.821,10","1.814,60","1.840,30","1.797,20","14,79K","0,24%"
"04.07.2021","1.816,70","1.793,70","1.824,40","1.793,40","10,86K","1,53%"
"27.06.2021","1.789,30","1.788,20","1.800,90","1.757,60","2,79K","0,30%"
"20.06.2021","1.784,00","1.770,00","1.801,00","1.770,00","1,88K","0,52%"
"13.06.2021","1.774,80","1.882,70","1.882,70","1.768,80","3,33K","-5,87%"
"06.06.2021","1.885,50","1.890,90","1.910,50","1.880,60","6,92K","-0,64%"
"30.05.2021","1.897,70","1.915,00","1.922,80","1.861,80","2,54K","-0,70%"
"23.05.2021","1.911,00","1.889,00","1.916,40","1.887,20","3,37K","1,41%"
"16.05.2021","1.884,50","1.853,20","1.892,60","1.853,10","1,94K","2,08%"
"09.05.2021","1.846,10","1.840,40","1.851,60","1.818,00","5,37K","0,38%"
"02.05.2021","1.839,20","1.784,60","1.847,60","1.783,80","2,18K","3,58%"
"25.04.2021","1.775,70","1.788,40","1.795,40","1.767,00","0,46K","-0,55%"
"18.04.2021","1.785,60","1.795,90","1.804,50","1.775,00","0,39K","-0,14%"
"11.04.2021","1.788,10","1.740,30","1.790,20","1.733,10","0,61K","2,03%"
"04.04.2021","1.752,50","1.732,00","1.760,00","1.732,00","0,82K","1,00%"
"28.03.2021","1.735,20","1.736,80","1.739,00","1.686,10","0,54K","-0,37%"
"21.03.2021","1.741,60","1.746,50","1.753,80","1.728,10","0,44K","-0,54%"
