"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.03.2022","104,70","109,42","109,72","93,53","1,25M","-4,23%"
"06.03.2022","109,33","121,33","130,50","103,63","2,19M","-5,49%"
"27.02.2022","115,68","94,99","116,57","94,43","2,43M","26,30%"
"20.02.2022","91,59","91,75","100,54","90,06","1,35M","0,57%"
"13.02.2022","91,07","93,91","95,82","89,03","1,52M","-2,18%"
"06.02.2022","93,10","91,82","94,66","88,41","1,90M","0,86%"
"30.01.2022","92,31","87,45","93,17","86,34","1,66M","6,32%"
"23.01.2022","86,82","84,91","88,84","81,90","1,91M","1,97%"
"16.01.2022","85,14","84,32","87,91","82,78","307,18K","1,57%"
"09.01.2022","83,82","78,88","84,45","77,83","1,66M","6,24%"
"02.01.2022","78,90","75,69","80,47","74,27","1,57M","4,91%"
"26.12.2021","75,21","73,38","77,44","72,57","1,03M","1,92%"
"19.12.2021","73,79","70,07","73,95","66,04","972,44K","4,13%"
"12.12.2021","70,86","72,04","73,00","69,39","1,28M","-1,13%"
"05.12.2021","71,67","67,02","73,34","66,72","2,15M","8,16%"
"28.11.2021","66,26","69,23","72,93","62,43","3,12M","-2,77%"
"21.11.2021","68,15","75,75","79,23","67,40","2,15M","-10,45%"
"14.11.2021","76,10","80,66","81,81","75,37","958,31K","-5,81%"
"07.11.2021","80,79","81,13","84,97","79,78","2,32M","-0,59%"
"31.10.2021","81,27","83,36","84,88","78,25","2,62M","-2,75%"
"24.10.2021","83,57","83,98","85,41","80,58","2,57M","-0,23%"
"17.10.2021","83,76","82,60","84,25","80,79","1,28M","1,80%"
"10.10.2021","82,28","79,59","82,66","79,42","2,42M","3,69%"
"03.10.2021","79,35","75,90","80,11","74,96","2,57M","4,57%"
"26.09.2021","75,88","74,19","76,67","73,14","2,29M","2,57%"
"19.09.2021","73,98","71,92","74,27","69,67","1,25M","2,79%"
"12.09.2021","71,97","69,74","73,14","69,51","1,64M","3,23%"
"05.09.2021","69,72","69,11","69,96","67,56","1,84M","0,62%"
"29.08.2021","69,29","69,30","70,61","67,12","1,80M","0,80%"
"22.08.2021","68,74","61,96","69,05","61,74","1,76M","10,30%"
"15.08.2021","62,32","67,71","68,27","62,11","804,21K","-8,94%"
"08.08.2021","68,44","67,88","69,62","65,15","2,19M","0,23%"
"01.08.2021","68,28","73,91","73,95","67,61","2,49M","-7,67%"
"25.07.2021","73,95","72,18","74,23","70,56","1,65M","2,61%"
"18.07.2021","72,07","71,49","72,21","65,21","1,33M","0,36%"
"11.07.2021","71,81","74,74","75,52","70,41","1,87M","-3,69%"
"04.07.2021","74,56","75,35","76,98","70,76","2,27M","-0,80%"
"27.06.2021","75,16","73,99","76,22","71,97","2,05M","1,50%"
"20.06.2021","74,05","71,52","74,25","71,15","1,28M","3,36%"
"13.06.2021","71,64","70,65","72,99","69,77","1,60M","1,03%"
"06.06.2021","70,91","69,52","71,24","68,47","2,27M","1,85%"
"30.05.2021","69,62","66,68","69,76","66,41","1,58M","4,98%"
"23.05.2021","66,32","63,87","67,52","63,63","2,07M","4,31%"
"16.05.2021","63,58","65,50","67,01","61,56","1,10M","-2,74%"
"09.05.2021","65,37","65,57","66,63","63,09","2,40M","0,72%"
"02.05.2021","64,90","63,64","66,76","62,91","1,94M","2,08%"
"25.04.2021","63,58","62,06","65,47","60,66","1,90M","2,32%"
"18.04.2021","62,14","62,98","64,25","60,61","1,23M","-1,57%"
"11.04.2021","63,13","59,35","63,88","58,73","1,51M","6,42%"
"04.04.2021","59,32","61,50","61,50","57,63","2,14M","-3,47%"
"28.03.2021","61,45","60,93","62,27","58,85","1,86M","0,79%"
"21.03.2021","60,97","61,55","61,90","57,25","2,36M","-0,73%"
