"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.03.2022","25,087","26,280","26,290","24,550","186,59K","-4,10%"
"06.03.2022","26,160","26,025","27,495","25,465","351,66K","1,44%"
"27.02.2022","25,789","24,620","25,920","24,155","250,78K","7,13%"
"20.02.2022","24,073","24,095","25,705","23,755","171,55K","0,15%"
"13.02.2022","24,038","23,650","24,165","23,125","56,57K","2,64%"
"06.02.2022","23,420","22,580","23,780","22,580","72,06K","4,01%"
"30.01.2022","22,517","22,505","23,090","22,050","18,76K","0,79%"
"23.01.2022","22,340","24,350","24,380","22,200","13,55K","-8,28%"
"16.01.2022","24,357","23,035","24,790","22,870","7,89K","6,11%"
"09.01.2022","22,954","22,380","23,370","22,275","14,41K","2,28%"
"02.01.2022","22,443","23,395","23,460","21,985","7,45K","-4,01%"
"26.12.2021","23,381","22,900","23,480","22,600","124,50K","1,96%"
"19.12.2021","22,931","22,300","22,870","22,225","0,88K","1,88%"
"12.12.2021","22,507","22,245","22,485","21,500","0,10K","1,57%"
"05.12.2021","22,160","22,490","22,560","21,800","0,44K","-1,27%"
"28.11.2021","22,445","23,135","23,415","22,040","13,52K","-2,86%"
"21.11.2021","23,107","24,655","24,953","22,915","54,62K","-6,76%"
"14.11.2021","24,781","25,425","25,490","24,610","263,45K","-2,23%"
"07.11.2021","25,346","24,285","25,470","24,040","346,32K","4,92%"
"31.10.2021","24,157","23,985","24,255","23,045","235,68K","0,87%"
"24.10.2021","23,949","24,395","24,695","23,705","200,64K","-2,05%"
"17.10.2021","24,449","23,380","24,920","23,035","257,90K","4,71%"
"10.10.2021","23,349","22,685","23,645","22,325","199,04K","2,84%"
"03.10.2021","22,705","22,600","23,220","22,185","142,67K","0,75%"
"26.09.2021","22,536","22,395","22,865","21,410","237,88K","0,49%"
"19.09.2021","22,425","22,330","23,150","22,025","187,82K","0,39%"
"12.09.2021","22,337","23,790","24,000","22,305","213,10K","-6,54%"
"05.09.2021","23,900","24,865","24,895","23,760","158,77K","-3,64%"
"29.08.2021","24,802","24,130","24,945","23,775","178,06K","3,08%"
"22.08.2021","24,062","22,985","24,135","22,925","221,60K","4,11%"
"15.08.2021","23,112","23,745","23,955","22,835","182,67K","-2,80%"
"08.08.2021","23,779","24,340","24,380","22,295","318,48K","-2,25%"
"01.08.2021","24,326","25,625","26,090","24,205","213,21K","-4,78%"
"25.07.2021","25,547","25,270","25,875","24,515","246,61K","1,24%"
"18.07.2021","25,233","25,700","25,805","24,790","249,67K","-2,18%"
"11.07.2021","25,795","26,185","26,575","25,640","194,46K","-1,67%"
"04.07.2021","26,234","26,640","26,910","25,820","190,08K","-1,01%"
"27.06.2021","26,501","26,220","26,700","25,580","215,78K","1,59%"
"20.06.2021","26,087","25,865","26,380","25,580","239,65K","0,45%"
"13.06.2021","25,969","28,095","28,160","25,770","356,25K","-7,73%"
"06.06.2021","28,146","27,910","28,445","27,475","279,53K","0,90%"
"30.05.2021","27,896","28,060","28,710","27,090","346,05K","-0,42%"
"23.05.2021","28,014","27,690","28,340","27,480","243,20K","1,92%"
"16.05.2021","27,486","27,515","28,900","27,265","329,04K","0,44%"
"09.05.2021","27,365","27,680","28,005","26,780","268,78K","-0,41%"
"02.05.2021","27,477","25,990","27,800","25,850","285,90K","6,20%"
"25.04.2021","25,873","26,090","26,580","25,745","275,68K","-0,77%"
"18.04.2021","26,075","26,055","26,730","25,670","317,34K","-0,11%"
"11.04.2021","26,105","25,300","26,380","24,680","271,53K","3,08%"
"04.04.2021","25,325","25,050","25,675","24,660","202,89K","1,51%"
"28.03.2021","24,948","25,105","25,150","23,740","191,44K","-0,66%"
"21.03.2021","25,114","26,340","26,350","24,435","296,83K","-4,59%"
